chrom	start	end	num	list	39-12-28_med_rubella_chunks.bed	5.16_med_rubella_chunks.bed	70.5_med_rubella_chunks.bed	AL87_med_rubella_chunks.bed	JO56_med_rubella_chunks.bed	JO59_med_rubella_chunks.bed	TR73_med_rubella_chunks.bed	WAC5_med_rubella_chunks.bed
SCF_10	758077	758078	3	2,3,7	0	1	1	0	0	0	1	0
SCF_10	758078	768500	4	2,3,7,8	0	1	1	0	0	0	1	1
SCF_10	768500	825668	5	2,3,4,7,8	0	1	1	1	0	0	1	1
SCF_10	825668	922143	4	3,4,7,8	0	0	1	1	0	0	1	1
SCF_10	922143	1209827	7	1,2,3,4,6,7,8	1	1	1	1	0	1	1	1
SCF_10	1209827	1320575	6	2,3,4,6,7,8	0	1	1	1	0	1	1	1
SCF_10	1320575	1337807	5	3,4,6,7,8	0	0	1	1	0	1	1	1
SCF_10	1337807	1390115	6	2,3,4,6,7,8	0	1	1	1	0	1	1	1
SCF_10	1390115	1715258	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_10	1715258	1943409	2	3,8	0	0	1	0	0	0	0	1
SCF_10	1943409	2108756	1	3	0	0	1	0	0	0	0	0
SCF_10	2108756	2172042	4	3,5,6,7	0	0	1	0	1	1	1	0
SCF_10	2172042	2248025	5	3,5,6,7,8	0	0	1	0	1	1	1	1
SCF_10	2248025	2425527	6	3,4,5,6,7,8	0	0	1	1	1	1	1	1
SCF_10	2425527	2550367	5	3,5,6,7,8	0	0	1	0	1	1	1	1
SCF_10	2550367	2617585	3	3,7,8	0	0	1	0	0	0	1	1
SCF_10	2617585	2718673	4	3,5,7,8	0	0	1	0	1	0	1	1
SCF_10	2718673	2912215	5	3,5,6,7,8	0	0	1	0	1	1	1	1
SCF_10	2912215	2947727	7	2,3,4,5,6,7,8	0	1	1	1	1	1	1	1
SCF_10	2947727	2982028	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_10	2982028	3041166	7	1,2,3,4,6,7,8	1	1	1	1	0	1	1	1
SCF_10	3041166	3518564	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_10	3518564	3647637	7	1,2,3,4,5,6,7	1	1	1	1	1	1	1	0
SCF_10	3647637	3770502	6	2,3,4,5,6,7	0	1	1	1	1	1	1	0
SCF_10	3770502	4251279	4	2,4,5,7	0	1	0	1	1	0	1	0
SCF_10	4251279	5197585	1	7	0	0	0	0	0	0	1	0
SCF_10	5531171	7677018	1	7	0	0	0	0	0	0	1	0
SCF_10	7978835	8085999	1	3	0	0	1	0	0	0	0	0
SCF_10	9641855	9660900	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_10	12568127	12588831	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_11	0	38936	2	2,6	0	1	0	0	0	1	0	0
SCF_11	632970	709962	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_11	951516	991082	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_11	1797999	2111919	1	2	0	1	0	0	0	0	0	0
SCF_11	2111919	2414663	2	2,6	0	1	0	0	0	1	0	0
SCF_11	2414663	2592774	1	2	0	1	0	0	0	0	0	0
SCF_11	3249658	3269538	2	6,7	0	0	0	0	0	1	1	0
SCF_11	3269538	3317749	4	1,3,6,7	1	0	1	0	0	1	1	0
SCF_11	3317749	3742952	5	1,3,6,7,8	1	0	1	0	0	1	1	1
SCF_11	3742952	3801893	4	1,3,7,8	1	0	1	0	0	0	1	1
SCF_11	3801893	3842752	1	8	0	0	0	0	0	0	0	1
SCF_11	4517842	4555123	1	1	1	0	0	0	0	0	0	0
SCF_11	5474319	5527298	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_11	5988494	6154516	3	2,4,6	0	1	0	1	0	1	0	0
SCF_11	6154516	6287545	5	2,3,4,6,7	0	1	1	1	0	1	1	0
SCF_11	6287545	6306887	1	3	0	0	1	0	0	0	0	0
SCF_11	6864236	6884034	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_11	7399049	7522867	7	1,2,3,5,6,7,8	1	1	1	0	1	1	1	1
SCF_11	8015986	8066988	1	3	0	0	1	0	0	0	0	0
SCF_11	8066988	8120619	2	3,5	0	0	1	0	1	0	0	0
SCF_11	9183725	9328813	1	7	0	0	0	0	0	0	1	0
SCF_11	9328813	9346444	2	2,7	0	1	0	0	0	0	1	0
SCF_11	9346444	9419326	3	1,2,7	1	1	0	0	0	0	1	0
SCF_11	9419326	9545700	2	2,7	0	1	0	0	0	0	1	0
SCF_11	9545700	9629208	1	7	0	0	0	0	0	0	1	0
SCF_11	11908948	11953356	7	1,3,4,5,6,7,8	1	0	1	1	1	1	1	1
SCF_11	11953356	12067242	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_11	12872784	13526692	1	3	0	0	1	0	0	0	0	0
SCF_11	13631540	14486779	1	3	0	0	1	0	0	0	0	0
SCF_11	14638643	14956348	1	3	0	0	1	0	0	0	0	0
SCF_12	907655	994474	4	2,5,6,8	0	1	0	0	1	1	0	1
SCF_12	994474	1296108	1	2	0	1	0	0	0	0	0	0
SCF_12	1545656	1575176	6	1,2,3,4,5,6	1	1	1	1	1	1	0	0
SCF_12	1575176	1993440	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_12	1993440	2144716	7	1,2,3,4,5,7,8	1	1	1	1	1	0	1	1
SCF_12	2144716	2158257	5	1,3,5,7,8	1	0	1	0	1	0	1	1
SCF_12	2158257	2647507	6	1,3,5,6,7,8	1	0	1	0	1	1	1	1
SCF_12	2647507	2860212	1	8	0	0	0	0	0	0	0	1
SCF_12	2860212	2933040	2	2,8	0	1	0	0	0	0	0	1
SCF_12	2933040	2998453	4	1,2,3,8	1	1	1	0	0	0	0	1
SCF_12	5050755	5122512	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_12	7666094	7768491	2	3,6	0	0	1	0	0	1	0	0
SCF_12	7768491	7890067	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_12	7890067	7962535	3	3,4,6	0	0	1	1	0	1	0	0
SCF_12	7962535	8083768	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_12	8083768	8107355	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
SCF_12	8599484	8721555	1	6	0	0	0	0	0	1	0	0
SCF_12	8721555	8725809	4	1,2,4,6	1	1	0	1	0	1	0	0
SCF_12	8725809	8861245	5	1,2,4,6,7	1	1	0	1	0	1	1	0
SCF_12	8861245	8870078	1	6	0	0	0	0	0	1	0	0
SCF_12	9097611	9494746	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_12	10398421	10451427	2	3,4	0	0	1	1	0	0	0	0
SCF_12	11198214	11260086	6	1,2,3,5,7,8	1	1	1	0	1	0	1	1
SCF_12	11260086	11297907	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_12	11297907	11402627	7	1,2,3,4,5,6,7	1	1	1	1	1	1	1	0
SCF_12	12887416	12939881	1	7	0	0	0	0	0	0	1	0
SCF_12	12939881	13162854	2	5,7	0	0	0	0	1	0	1	0
SCF_12	13162854	13513197	1	5	0	0	0	0	1	0	0	0
SCF_12	14675324	14689556	1	4	0	0	0	1	0	0	0	0
SCF_12	14689556	14762884	2	2,4	0	1	0	1	0	0	0	0
SCF_12	14762884	14832478	1	2	0	1	0	0	0	0	0	0
SCF_12	15405782	15483296	2	2,4	0	1	0	1	0	0	0	0
SCF_13	657423	735625	1	6	0	0	0	0	0	1	0	0
SCF_13	794285	839036	1	6	0	0	0	0	0	1	0	0
SCF_13	1034420	1140804	1	2	0	1	0	0	0	0	0	0
SCF_13	1229143	1390705	1	4	0	0	0	1	0	0	0	0
SCF_13	1390705	1483365	5	1,4,5,7,8	1	0	0	1	1	0	1	1
SCF_13	2358566	2808733	1	3	0	0	1	0	0	0	0	0
SCF_13	3179724	3205688	1	8	0	0	0	0	0	0	0	1
SCF_13	3205688	3342861	2	4,8	0	0	0	1	0	0	0	1
SCF_13	3342861	3377929	1	4	0	0	0	1	0	0	0	0
SCF_13	3451757	3606140	1	4	0	0	0	1	0	0	0	0
SCF_13	6093578	6418766	2	2,4	0	1	0	1	0	0	0	0
SCF_13	6418766	6631758	7	2,3,4,5,6,7,8	0	1	1	1	1	1	1	1
SCF_13	6631758	6707624	6	2,3,4,6,7,8	0	1	1	1	0	1	1	1
SCF_13	6707624	6761445	5	2,3,4,7,8	0	1	1	1	0	0	1	1
SCF_13	6761445	8104859	1	3	0	0	1	0	0	0	0	0
SCF_14	1113547	1691754	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_14	1691754	1938111	1	3	0	0	1	0	0	0	0	0
SCF_14	8416160	8468118	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_14	10375678	10444380	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_14	14215976	14281199	4	2,3,5,8	0	1	1	0	1	0	0	1
SCF_14	14281199	14307506	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
SCF_14	14307506	14451194	2	5,8	0	0	0	0	1	0	0	1
SCF_14	14451194	14562423	3	5,6,8	0	0	0	0	1	1	0	1
SCF_14	14562423	14650946	1	6	0	0	0	0	0	1	0	0
SCF_14	15396828	15429354	3	3,5,7	0	0	1	0	1	0	1	0
SCF_14	15429354	15459882	6	3,4,5,6,7,8	0	0	1	1	1	1	1	1
SCF_14	15459882	15531701	7	2,3,4,5,6,7,8	0	1	1	1	1	1	1	1
SCF_14	15531701	15713081	2	2,8	0	1	0	0	0	0	0	1
SCF_14	16290904	16587682	3	2,3,7	0	1	1	0	0	0	1	0
SCF_14	16587682	16761875	4	2,3,4,7	0	1	1	1	0	0	1	0
SCF_14	16761875	16959354	5	1,2,3,4,7	1	1	1	1	0	0	1	0
SCF_14	16959354	17077621	4	1,3,4,7	1	0	1	1	0	0	1	0
SCF_14	17077621	17321562	5	1,3,4,7,8	1	0	1	1	0	0	1	1
SCF_14	17321562	17384668	6	1,3,4,6,7,8	1	0	1	1	0	1	1	1
SCF_14	17384668	17411709	5	1,3,6,7,8	1	0	1	0	0	1	1	1
SCF_14	17411709	17680875	6	1,3,5,6,7,8	1	0	1	0	1	1	1	1
SCF_14	17680875	17922785	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_14	17922785	17980809	5	1,3,5,6,7	1	0	1	0	1	1	1	0
SCF_15	384680	421308	5	3,5,6,7,8	0	0	1	0	1	1	1	1
SCF_15	1948771	2071305	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_15	2071305	2146486	1	3	0	0	1	0	0	0	0	0
SCF_15	2627357	3118201	1	3	0	0	1	0	0	0	0	0
SCF_15	4206811	4283049	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_15	6417163	6563340	1	4	0	0	0	1	0	0	0	0
SCF_15	6563340	6862809	3	1,4,6	1	0	0	1	0	1	0	0
SCF_15	6862809	6958009	6	1,4,5,6,7,8	1	0	0	1	1	1	1	1
SCF_15	6958009	7014880	7	1,3,4,5,6,7,8	1	0	1	1	1	1	1	1
SCF_15	7014880	7201218	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_15	7201218	7268487	7	1,2,3,4,5,7,8	1	1	1	1	1	0	1	1
SCF_15	8057592	8244717	1	7	0	0	0	0	0	0	1	0
SCF_15	9277835	9289220	1	3	0	0	1	0	0	0	0	0
SCF_15	9289220	9337697	2	1,3	1	0	1	0	0	0	0	0
SCF_15	9337697	9501636	1	3	0	0	1	0	0	0	0	0
SCF_15	9712066	9728964	2	3,7	0	0	1	0	0	0	1	0
SCF_15	9728964	9874605	1	7	0	0	0	0	0	0	1	0
SCF_15	10127689	10322583	1	3	0	0	1	0	0	0	0	0
SCF_15	10322583	10673394	5	1,3,5,6,8	1	0	1	0	1	1	0	1
SCF_15	10673394	10717427	4	1,3,6,8	1	0	1	0	0	1	0	1
SCF_15	10717427	10729477	5	1,3,5,6,8	1	0	1	0	1	1	0	1
SCF_15	10729477	11237267	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_15	11237267	11280524	6	1,3,4,5,7,8	1	0	1	1	1	0	1	1
SCF_15	11280524	11415819	7	1,2,3,4,5,7,8	1	1	1	1	1	0	1	1
SCF_15	11415819	11883027	4	1,4,5,8	1	0	0	1	1	0	0	1
SCF_15	11883027	11958218	3	1,4,8	1	0	0	1	0	0	0	1
SCF_15	11958218	13744196	1	4	0	0	0	1	0	0	0	0
SCF_15	13744196	14196287	2	2,4	0	1	0	1	0	0	0	0
SCF_15	14196287	14523963	4	2,4,5,8	0	1	0	1	1	0	0	1
SCF_15	14523963	14803482	5	2,4,5,7,8	0	1	0	1	1	0	1	1
SCF_15	14803482	14831032	4	2,4,7,8	0	1	0	1	0	0	1	1
SCF_15	14831032	15084056	1	8	0	0	0	0	0	0	0	1
SCF_15	15084056	15206999	2	2,8	0	1	0	0	0	0	0	1
SCF_15	15206999	15370268	7	2,3,4,5,6,7,8	0	1	1	1	1	1	1	1
SCF_15	15370268	15660619	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_15	15660619	15758779	5	1,2,3,6,7	1	1	1	0	0	1	1	0
SCF_15	16682740	16816716	1	4	0	0	0	1	0	0	0	0
SCF_16	1578451	1765448	1	8	0	0	0	0	0	0	0	1
SCF_16	1765448	2047374	3	2,4,8	0	1	0	1	0	0	0	1
SCF_16	2047374	2060719	2	4,8	0	0	0	1	0	0	0	1
SCF_16	2060719	2103112	3	4,6,8	0	0	0	1	0	1	0	1
SCF_16	2103112	2164083	2	4,6	0	0	0	1	0	1	0	0
SCF_16	3278187	3395486	1	4	0	0	0	1	0	0	0	0
SCF_16	3395487	3524055	1	3	0	0	1	0	0	0	0	0
SCF_16	3524055	3717682	2	2,3	0	1	1	0	0	0	0	0
SCF_16	3717682	4135700	1	3	0	0	1	0	0	0	0	0
SCF_16	5043929	6234242	1	3	0	0	1	0	0	0	0	0
SCF_16	6234242	6361870	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_16	6628512	6676330	1	7	0	0	0	0	0	0	1	0
SCF_16	7891347	7991564	2	3,6	0	0	1	0	0	1	0	0
SCF_16	9015646	9187750	6	1,4,5,6,7,8	1	0	0	1	1	1	1	1
SCF_16	9187750	9218235	4	1,4,5,6	1	0	0	1	1	1	0	0
SCF_16	9218235	9221119	5	1,4,5,6,8	1	0	0	1	1	1	0	1
SCF_16	9221119	9336067	6	1,4,5,6,7,8	1	0	0	1	1	1	1	1
SCF_16	9336067	9626106	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_16	9626106	9667146	7	1,2,3,4,6,7,8	1	1	1	1	0	1	1	1
SCF_16	9667146	9792606	6	1,2,4,6,7,8	1	1	0	1	0	1	1	1
SCF_16	9792606	9856526	5	1,4,6,7,8	1	0	0	1	0	1	1	1
SCF_16	9856526	9877362	6	1,2,4,6,7,8	1	1	0	1	0	1	1	1
SCF_16	9877362	10042372	5	1,2,6,7,8	1	1	0	0	0	1	1	1
SCF_16	14102684	14178651	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
