chrom	start	end	num	list	SRR1665054.sam_MENA_rubella.bed	SRR1665063.sam_MENA_rubella.bed	SRR1665070.sam_MENA_rubella.bed	SRR6382384.sam_MENA_rubella.bed	SRR6382386.sam_MENA_rubella.bed	SRR6382397.sam_MENA_rubella.bed	SRR8904466.sam_MENA_rubella.bed
jlSCF_10	1320971	1535042	5	1,2,5,6,7	1	1	0	0	1	1	1
jlSCF_10	1535042	1587877	6	1,2,4,5,6,7	1	1	0	1	1	1	1
jlSCF_10	1587877	1717243	7	1,2,3,4,5,6,7	1	1	1	1	1	1	1
jlSCF_10	1717243	1735968	3	1,2,4	1	1	0	1	0	0	0
jlSCF_10	1735968	1847648	2	2,4	0	1	0	1	0	0	0
jlSCF_10	1847648	2319515	1	2	0	1	0	0	0	0	0
jlSCF_10	2319515	2409149	2	2,6	0	1	0	0	0	1	0
jlSCF_10	2409149	2953048	3	2,4,6	0	1	0	1	0	1	0
jlSCF_10	2953048	3113600	4	2,4,6,7	0	1	0	1	0	1	1
jlSCF_10	3113600	3216464	5	2,3,4,6,7	0	1	1	1	0	1	1
jlSCF_10	3216464	3216465	4	2,3,4,6	0	1	1	1	0	1	0
jlSCF_10	3216465	3337661	6	1,2,3,4,5,6	1	1	1	1	1	1	0
jlSCF_10	3337661	3410321	5	1,3,4,5,6	1	0	1	1	1	1	0
jlSCF_10	3410321	3808339	6	1,3,4,5,6,7	1	0	1	1	1	1	1
jlSCF_10	3808339	3816788	3	3,4,6	0	0	1	1	0	1	0
jlSCF_10	3816788	4334546	2	4,6	0	0	0	1	0	1	0
jlSCF_10	4334546	4397612	1	6	0	0	0	0	0	1	0
jlSCF_10	4727868	5168368	1	6	0	0	0	0	0	1	0
jlSCF_10	7981591	9836975	1	6	0	0	0	0	0	1	0
jlSCF_11	3215344	3600026	4	2,3,6,7	0	1	1	0	0	1	1
jlSCF_11	3600026	3628525	3	2,3,7	0	1	1	0	0	0	1
jlSCF_11	3628525	3701419	2	2,7	0	1	0	0	0	0	1
jlSCF_11	5991956	6114676	3	1,5,7	1	0	0	0	1	0	1
jlSCF_11	6114676	6269986	5	1,2,5,6,7	1	1	0	0	1	1	1
jlSCF_11	6269986	6294413	4	1,5,6,7	1	0	0	0	1	1	1
jlSCF_11	9205255	9338988	1	6	0	0	0	0	0	1	0
jlSCF_11	16172152	16759820	1	2	0	1	0	0	0	0	0
jlSCF_11	17027209	17098257	1	2	0	1	0	0	0	0	0
jlSCF_12	785979	975913	1	1	1	0	0	0	0	0	0
jlSCF_12	1268382	1292241	4	1,2,4,7	1	1	0	1	0	0	1
jlSCF_12	1292241	1338108	6	1,2,4,5,6,7	1	1	0	1	1	1	1
jlSCF_12	1338108	1794353	7	1,2,3,4,5,6,7	1	1	1	1	1	1	1
jlSCF_12	1794353	2307950	5	2,3,4,6,7	0	1	1	1	0	1	1
jlSCF_12	2540361	2665022	1	1	1	0	0	0	0	0	0
jlSCF_12	9025666	9113172	2	2,7	0	1	0	0	0	0	1
jlSCF_12	9113172	9206013	7	1,2,3,4,5,6,7	1	1	1	1	1	1	1
jlSCF_12	9206013	9432771	6	1,2,4,5,6,7	1	1	0	1	1	1	1
jlSCF_12	9923403	10055181	1	7	0	0	0	0	0	0	1
jlSCF_12	10055181	10093960	4	1,3,5,7	1	0	1	0	1	0	1
jlSCF_12	10093960	10172223	5	1,3,5,6,7	1	0	1	0	1	1	1
jlSCF_12	10172223	10201782	4	1,3,5,6	1	0	1	0	1	1	0
jlSCF_12	10434372	10836227	7	1,2,3,4,5,6,7	1	1	1	1	1	1	1
jlSCF_12	10836227	10864821	1	6	0	0	0	0	0	1	0
jlSCF_12	14346632	14358144	1	6	0	0	0	0	0	1	0
jlSCF_12	14358144	14461873	2	4,6	0	0	0	1	0	1	0
jlSCF_12	14769132	14859949	1	4	0	0	0	1	0	0	0
jlSCF_13	1002499	1177294	1	1	1	0	0	0	0	0	0
jlSCF_13	1304345	1445468	1	5	0	0	0	0	1	0	0
jlSCF_13	1445468	1505753	3	4,5,6	0	0	0	1	1	1	0
jlSCF_13	1505753	1535530	1	4	0	0	0	1	0	0	0
jlSCF_13	6328480	6635701	2	1,5	1	0	0	0	1	0	0
jlSCF_13	6635701	6735032	4	1,5,6,7	1	0	0	0	1	1	1
jlSCF_13	6735032	6851492	5	1,2,5,6,7	1	1	0	0	1	1	1
jlSCF_13	6851492	6957498	4	1,2,5,6	1	1	0	0	1	1	0
jlSCF_13	7754635	8047373	1	2	0	1	0	0	0	0	0
jlSCF_14	522327	541330	2	2,6	0	1	0	0	0	1	0
jlSCF_14	541330	577043	3	2,3,6	0	1	1	0	0	1	0
jlSCF_14	577043	787287	7	1,2,3,4,5,6,7	1	1	1	1	1	1	1
jlSCF_14	787287	824995	1	7	0	0	0	0	0	0	1
jlSCF_14	7741057	7786082	6	1,2,3,4,6,7	1	1	1	1	0	1	1
jlSCF_14	19154502	19284693	3	1,2,4	1	1	0	1	0	0	0
jlSCF_14	20445392	20527172	5	2,4,5,6,7	0	1	0	1	1	1	1
jlSCF_14	20527172	20539087	6	1,2,4,5,6,7	1	1	0	1	1	1	1
jlSCF_14	20539087	20553624	5	1,2,4,6,7	1	1	0	1	0	1	1
jlSCF_14	20553624	20691323	1	1	1	0	0	0	0	0	0
jlSCF_14	21418462	21431407	1	1	1	0	0	0	0	0	0
jlSCF_14	21431407	21615904	3	1,2,6	1	1	0	0	0	1	0
jlSCF_14	21615904	21906745	4	1,2,5,6	1	1	0	0	1	1	0
jlSCF_14	21906745	22094400	5	1,2,3,5,6	1	1	1	0	1	1	0
jlSCF_14	22094400	24470546	4	2,3,5,6	0	1	1	0	1	1	0
jlSCF_14	24470546	26954313	1	2	0	1	0	0	0	0	0
jlSCF_14	26954313	27218035	4	2,3,5,6	0	1	1	0	1	1	0
jlSCF_14	27218035	27282720	5	2,3,5,6,7	0	1	1	0	1	1	1
jlSCF_14	27282720	27307970	4	2,3,6,7	0	1	1	0	0	1	1
jlSCF_14	27307970	27761367	5	2,3,4,6,7	0	1	1	1	0	1	1
jlSCF_14	27761367	27876130	7	1,2,3,4,5,6,7	1	1	1	1	1	1	1
jlSCF_14	27876130	27941106	6	1,2,3,5,6,7	1	1	1	0	1	1	1
jlSCF_15	6782323	7035987	3	3,5,7	0	0	1	0	1	0	1
jlSCF_15	7035987	7054377	4	3,4,5,7	0	0	1	1	1	0	1
jlSCF_15	7054377	7082490	5	3,4,5,6,7	0	0	1	1	1	1	1
jlSCF_15	7082490	7221757	6	2,3,4,5,6,7	0	1	1	1	1	1	1
jlSCF_15	7221757	7359748	7	1,2,3,4,5,6,7	1	1	1	1	1	1	1
jlSCF_15	7359748	7433911	6	1,2,3,4,5,6	1	1	1	1	1	1	0
jlSCF_15	10511497	11052849	4	2,3,4,7	0	1	1	1	0	0	1
jlSCF_15	11052849	11488032	7	1,2,3,4,5,6,7	1	1	1	1	1	1	1
jlSCF_15	11488032	11637208	6	1,2,3,4,5,6	1	1	1	1	1	1	0
jlSCF_15	11637208	12148646	3	3,4,5	0	0	1	1	1	0	0
jlSCF_15	12148646	12371468	2	3,5	0	0	1	0	1	0	0
jlSCF_15	12371468	12578584	1	5	0	0	0	0	1	0	0
jlSCF_15	18438651	18875276	2	1,5	1	0	0	0	1	0	0
jlSCF_15	18875276	19193811	3	1,4,5	1	0	0	1	1	0	0
jlSCF_15	19193811	19472278	4	1,4,5,6	1	0	0	1	1	1	0
jlSCF_15	19472278	19514600	3	1,5,6	1	0	0	0	1	1	0
jlSCF_15	19514600	19553570	2	1,5	1	0	0	0	1	0	0
jlSCF_15	19770493	19908486	1	1	1	0	0	0	0	0	0
jlSCF_15	19908486	20007435	6	1,2,4,5,6,7	1	1	0	1	1	1	1
jlSCF_15	20007435	20339591	7	1,2,3,4,5,6,7	1	1	1	1	1	1	1
jlSCF_15	20339591	20392987	5	1,2,3,5,7	1	1	1	0	1	0	1
jlSCF_15	20826643	20834061	5	1,3,5,6,7	1	0	1	0	1	1	1
jlSCF_15	20834061	20883535	7	1,2,3,4,5,6,7	1	1	1	1	1	1	1
jlSCF_16	1164479	1440569	1	1	1	0	0	0	0	0	0
jlSCF_16	2865586	3117123	1	2	0	1	0	0	0	0	0
jlSCF_16	8620915	9158112	1	2	0	1	0	0	0	0	0
jlSCF_16	12597857	12891122	5	3,4,5,6,7	0	0	1	1	1	1	1
jlSCF_16	12891122	13137247	7	1,2,3,4,5,6,7	1	1	1	1	1	1	1
jlSCF_16	13137247	13177381	6	1,3,4,5,6,7	1	0	1	1	1	1	1
jlSCF_16	13177381	13333975	5	1,3,5,6,7	1	0	1	0	1	1	1
jlSCF_16	13333975	13473735	4	1,3,6,7	1	0	1	0	0	1	1
jlSCF_16	13473735	13577766	2	3,7	0	0	1	0	0	0	1
jlSCF_16	13577766	13594636	1	7	0	0	0	0	0	0	1
